_windowserver      398   3.9  0.8 414217936  64608   ??  Ss   Wed08PM 231:40.61 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
aryanjhaveri     78648   0.4  0.9 412713712  77216   ??  S    Mon10AM   0:42.51 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container -isForBrowser -prefsHandle 0:37506 -prefMapHandle 1:276453 -jsInitHandle 2:245828 -sbStartup -sbAppPath /Applications/Firefox.app -sbLevel 3 -parentBuildID 20250529122813 -ipcHandle 0 -initialChannelId {39d16b2c-1843-42da-ac82-b11ee36aa82f} -parentPid 78645 -crashReporter gecko-crash-server-pipe.78645 -greomni /Applications/Firefox.app/Contents/Resources/omni.ja -appomni /Applications/Firefox.app/Contents/Resources/browser/omni.ja -appDir /Applications/Firefox.app/Contents/Resources/browser -profile /Users/aryanjhaveri/Library/Application Support/Firefox/Profiles/3che5w3d.default-release-5 org.mozilla.machname.516332716 2 tab
aryanjhaveri     15532   0.1  0.5 413046848  42736   ??  S     2:08PM   0:24.07 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container -isForBrowser -prefsHandle 0:40930 -prefMapHandle 1:276453 -jsInitHandle 2:245828 -sbStartup -sbAppPath /Applications/Firefox.app -sbLevel 3 -parentBuildID 20250529122813 -ipcHandle 0 -initialChannelId {05359e87-0b3e-43dc-b31f-f43be8309365} -parentPid 78645 -crashReporter gecko-crash-server-pipe.78645 -greomni /Applications/Firefox.app/Contents/Resources/omni.ja -appomni /Applications/Firefox.app/Contents/Resources/browser/omni.ja -appDir /Applications/Firefox.app/Contents/Resources/browser -profile /Users/aryanjhaveri/Library/Application Support/Firefox/Profiles/3che5w3d.default-release-5 org.mozilla.machname.200484297 174 tab
aryanjhaveri     21885   0.1  0.8 412864128  66208   ??  S     3:12PM   0:06.43 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container -isForBrowser -prefsHandle 0:40930 -prefMapHandle 1:276453 -jsInitHandle 2:245828 -sbStartup -sbAppPath /Applications/Firefox.app -sbLevel 3 -parentBuildID 20250529122813 -ipcHandle 0 -initialChannelId {9fd0e8cd-2a0b-480b-a82c-7f1933a34b97} -parentPid 78645 -crashReporter gecko-crash-server-pipe.78645 -greomni /Applications/Firefox.app/Contents/Resources/omni.ja -appomni /Applications/Firefox.app/Contents/Resources/browser/omni.ja -appDir /Applications/Firefox.app/Contents/Resources/browser -profile /Users/aryanjhaveri/Library/Application Support/Firefox/Profiles/3che5w3d.default-release-5 org.mozilla.machname.756812499 297 tab
aryanjhaveri     78792   0.1  0.7 412985440  61312   ??  S    Mon10AM   2:13.44 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container -isForBrowser -prefsHandle 0:40545 -prefMapHandle 1:276453 -jsInitHandle 2:245828 -sbStartup -sbAppPath /Applications/Firefox.app -sbLevel 3 -parentBuildID 20250529122813 -ipcHandle 0 -initialChannelId {a55a7b55-6e66-4e5a-9243-f05219f0f140} -parentPid 78645 -crashReporter gecko-crash-server-pipe.78645 -greomni /Applications/Firefox.app/Contents/Resources/omni.ja -appomni /Applications/Firefox.app/Contents/Resources/browser/omni.ja -appDir /Applications/Firefox.app/Contents/Resources/browser -profile /Users/aryanjhaveri/Library/Application Support/Firefox/Profiles/3che5w3d.default-release-5 org.mozilla.machname.1923492838 40 tab
root             27757   0.0  0.0 426948416   4144   ??  Ss    3:31PM   0:00.10 /System/Library/CoreServices/osanalyticshelper server-init
aryanjhaveri     27581   0.0  0.5 412581664  39872   ??  S     3:30PM   0:00.18 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container -isForBrowser -prefsHandle 0:40930 -prefMapHandle 1:276453 -jsInitHandle 2:245828 -sbStartup -sbAppPath /Applications/Firefox.app -sbLevel 3 -parentBuildID 20250529122813 -ipcHandle 0 -initialChannelId {1eaada92-f04f-4198-8f18-b999e7dd6d48} -parentPid 78645 -crashReporter gecko-crash-server-pipe.78645 -greomni /Applications/Firefox.app/Contents/Resources/omni.ja -appomni /Applications/Firefox.app/Contents/Resources/browser/omni.ja -appDir /Applications/Firefox.app/Contents/Resources/browser -profile /Users/aryanjhaveri/Library/Application Support/Firefox/Profiles/3che5w3d.default-release-5 org.mozilla.machname.251058026 306 tab
aryanjhaveri     25778   0.0  0.4 412581360  35552   ??  S     3:24PM   0:00.11 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container -isForBrowser -prefsHandle 0:40930 -prefMapHandle 1:276453 -jsInitHandle 2:245828 -sbStartup -sbAppPath /Applications/Firefox.app -sbLevel 3 -parentBuildID 20250529122813 -ipcHandle 0 -initialChannelId {2c9aa389-2a71-48e7-ae2d-7946f54adac8} -parentPid 78645 -crashReporter gecko-crash-server-pipe.78645 -greomni /Applications/Firefox.app/Contents/Resources/omni.ja -appomni /Applications/Firefox.app/Contents/Resources/browser/omni.ja -appDir /Applications/Firefox.app/Contents/Resources/browser -profile /Users/aryanjhaveri/Library/Application Support/Firefox/Profiles/3che5w3d.default-release-5 org.mozilla.machname.1090546019 305 tab
aryanjhaveri     24922   0.0  0.4 412584432  35584   ??  S     3:22PM   0:00.12 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container -isForBrowser -prefsHandle 0:40930 -prefMapHandle 1:276453 -jsInitHandle 2:245828 -sbStartup -sbAppPath /Applications/Firefox.app -sbLevel 3 -parentBuildID 20250529122813 -ipcHandle 0 -initialChannelId {80005702-ddfe-43bb-8afe-4e862252281d} -parentPid 78645 -crashReporter gecko-crash-server-pipe.78645 -greomni /Applications/Firefox.app/Contents/Resources/omni.ja -appomni /Applications/Firefox.app/Contents/Resources/browser/omni.ja -appDir /Applications/Firefox.app/Contents/Resources/browser -profile /Users/aryanjhaveri/Library/Application Support/Firefox/Profiles/3che5w3d.default-release-5 org.mozilla.machname.2103344258 304 tab
aryanjhaveri     24805   0.0  1.1 412682752  91760   ??  S     3:21PM   0:02.91 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container -isForBrowser -prefsHandle 0:40930 -prefMapHandle 1:276453 -jsInitHandle 2:245828 -sbStartup -sbAppPath /Applications/Firefox.app -sbLevel 3 -parentBuildID 20250529122813 -ipcHandle 0 -initialChannelId {a2851836-3ce0-4f9b-99c4-6af3d3aad4af} -parentPid 78645 -crashReporter gecko-crash-server-pipe.78645 -greomni /Applications/Firefox.app/Contents/Resources/omni.ja -appomni /Applications/Firefox.app/Contents/Resources/browser/omni.ja -appDir /Applications/Firefox.app/Contents/Resources/browser -profile /Users/aryanjhaveri/Library/Application Support/Firefox/Profiles/3che5w3d.default-release-5 org.mozilla.machname.343670479 303 tab
aryanjhaveri     24786   0.0  0.6 412722144  50880   ??  S     3:21PM   0:03.10 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container -isForBrowser -prefsHandle 0:40930 -prefMapHandle 1:276453 -jsInitHandle 2:245828 -sbStartup -sbAppPath /Applications/Firefox.app -sbLevel 3 -parentBuildID 20250529122813 -ipcHandle 0 -initialChannelId {5bec0a8d-c60b-431c-80e4-ac51e6e7fd9f} -parentPid 78645 -crashReporter gecko-crash-server-pipe.78645 -greomni /Applications/Firefox.app/Contents/Resources/omni.ja -appomni /Applications/Firefox.app/Contents/Resources/browser/omni.ja -appDir /Applications/Firefox.app/Contents/Resources/browser -profile /Users/aryanjhaveri/Library/Application Support/Firefox/Profiles/3che5w3d.default-release-5 org.mozilla.machname.95056711 301 tab
